Year,Type,Source,Text,Polarity,Subjectivity
2017,SPOK,"Fox: Fox News Sunday
","know, the Democrats have threatened to shut down the government over dealing with illegal immigrants. People that are in the country illegally. that's the wrong way to",-0.41388888888888886,0.5472222222222223
2017,SPOK,"Fox: Ingraham Angle
",the government because he cares more about handling and caring and the feeding of illegal immigrants than protecting the innocent lives of American citizens and legal immigrants in the United States,0.13999999999999999,0.38
2017,SPOK,"Fox: Ingraham Angle
",from the time I have walked those same tents there are a lot of illegal immigrants who are homeless as well. They come here. They try to get jobs,-0.25,0.3125
2017,SPOK,"Fox: Ingraham Angle
","have personally instructed the police officers not to enforce law, to allow the illegal immigrants to do so much to cause so much damage and the homelessness. We have",-0.024999999999999994,0.3
2017,SPOK,"Fox: Tucker Carlson Tonight
",tax bill. It turns on America hands out billions in tax breaks to illegal immigrants in the companies who will employ them every year. How does that happen and,-0.5,0.5
2017,SPOK,"Fox: Tucker Carlson Tonight
","it be stopped? We've got details on that. Next. CARLSON# Illegal immigrants aren't supposed to be in the United States, that's why they are",-0.25,0.25
2017,SPOK,"Fox: Tucker Carlson Tonight
","supposed to be in the United States, that's why they are called illegal immigrants, but they get an awful lot of breaks. In some states they are",-0.75,0.75
2017,SPOK,"Fox: Ingraham Angle
","not wearing a bulletproof vest for fear that it will offend one of the illegal immigrants. What are we talking about here? This is insanity. DAVID-WARD, -NATION#",-0.5,0.5
2017,SPOK,"Fox: Ingraham Angle
","We actually did calculations. Under the Obama administration upwards of 80 percent of illegal immigrants were put out-of-bounds for deportation because of the priorities that the administration, the previous",-0.2222222222222222,0.25555555555555554
2017,SPOK,"Fox: Ingraham Angle
","are put completely out of bounds, and the rest of the 11 million illegal immigrants are at least potential targets for deportation. It's made a huge difference for",-0.05999999999999998,0.6399999999999999
2017,SPOK,"Fox: Ingraham Angle
","make arrests. Lo and behold, when they finally get there, the illegal immigrants they are targeting have been tipped off and have basically fled. So those are",-0.25,0.75
2017,SPOK,"Fox: Ingraham Angle
","very remote areas. But in other cases they are being targeted by the illegal immigrants who are trying to get into the country, because they are all valedictorians,",-0.25166666666666665,0.37833333333333335
2017,SPOK,"PBS: PBS Newshour
","those grants to restrictions. Like, if the states seem to be harboring illegal immigrants, undocumented immigrants, they won't give them the money. And what we",-0.5,0.5
2017,SPOK,"PBS: PBS Newshour
","that to the billions and billions that we spend on benefits for and accommodating illegal immigrants. So, we -- this country spends billions of dollars protecting the borders of",-0.5,0.5
2017,SPOK,"Fox: Story: Maccallum
","Andrew Napolitano is here on the unprecedented step Rahm Emanuel is taking to protect illegal immigrants in his city. And NRA Spokesperson, Dana Loesch, under fire today after",0.04999999999999999,0.7
2017,SPOK,"Fox: Story: Maccallum
","Justice Department, after the DOJ vowed to cut funding to cities that harbor illegal immigrants and refuse to cooperate with immigration agents. Take a listen.  (BEGIN",-0.5,0.5
2017,SPOK,"Fox: The Five
","San Francisco's sanctuary city status. Kate's Law increases the penalties on illegal immigrants who repeatedly defy deportation. Today, President Trump met with immigration crime victims.",-0.5,0.5
2017,SPOK,"Fox: The Five
","would cut back so much on crime, like Dana says. Take the illegal immigrants who are here, the people who come in over and over again to commit",-0.09999999999999999,0.2333333333333333
2017,SPOK,"Fox: The Five
","guess what? President Obama was kicking out people at record rates who were illegal immigrants who had committed crimes. President Trump has continued down that path, may be",-0.3277777777777778,0.3944444444444445
2017,SPOK,"Fox: The Five
","But the idea is, you shouldn't demonize all immigrants or even all illegal immigrants because the statistics as Greg and I have argued over show they have a lower",-0.5,0.5
2017,SPOK,"Fox: The Five
",by President Trump. GUILFOYLE# With all due respect. WATTERS# Legitimate reason when illegal immigrants commit heinous crimes when it was preventable. GUILFOYLE# And Kate's Law doesn't demonize,-0.3125,0.4375
2017,SPOK,"Fox: The Five
","sanctuary city legislation in the nation -- that rhymes. What it means for illegal immigrants and for authorities who won't turn them into the feds, next. WATTERS#",-0.25,0.25
2017,SPOK,"Fox: On The Record: Baier
","policies, new enforcement numbers showing nearly 40 percent increase in the arrests of illegal immigrants not at the border but in U.S. Cities. That is roughly 400 a day",-0.09090909090909091,0.4386363636363636
2017,SPOK,"Fox: Tucker Carlson Tonight
","elsewhere that violent and property criminals, people were convicted of these offenses for illegal immigrants absolutely should be deported. They should serve their sentences in the United States,",-0.3666666666666667,0.7999999999999999
