Year,Type,Source,Text,Polarity,Subjectivity
2017,SPOK,"NPR: Morning Edition
",had become a focal point in President Trump's efforts to crack down on illegal immigration. DAVID-GREENE# Yeah. So we're talking here about a month-long trial that ended,-0.3277777777777778,0.3944444444444445
2017,SPOK,"Fox: Fox News Sunday
","case and that -- that verdict points to the impact of that -- that illegal immigration has had in our country to a detrimental effect. WALLACE# Senator Barrasso, thank",-0.5,0.5
2017,SPOK,"Fox: Ingraham Angle
","out a position that DACA should not even be discussed until all the other illegal immigration issues are dealt with. So, for them to talk about shutting down the",-0.2601851851851852,0.387962962962963
2017,SPOK,"Fox: Journal Editorial Report
",", a not-guilty verdict in the Kate Steinle murder case reigniting the debate over illegal immigration and sanctuary cities. So could it emerge as a big issue in the midterm",-0.25,0.3
2017,SPOK,"Fox: Journal Editorial Report
","assault with a deadly weapon. President Trump, who made cracking down on illegal immigration a cornerstone of his presidential campaign, called the verdict disgraceful and promised the issue",-0.2851851851851852,0.3962962962962963
2017,SPOK,"CNN: Smerconish
","a disgraceful verdict no wonders the people of our country are so angry with illegal immigration. 09:40:00 And many conservatives then chimed in. Sarah Palin for example, the",-0.16666666666666666,0.6666666666666666
2017,SPOK,"Fox: Tucker Carlson Tonight
","ask that question? BEARMAN# Well, actually, I mean, so net illegal immigration is been flat for a period of time. Actually, it's been going",-0.1675,0.28250000000000003
2017,SPOK,"Fox: Ingraham Angle
",Taxes have gone up and up. Regulations have stifled small business creation. Illegal immigration has exploded here. Jerry Brown called California a sanctuary state. Electricity prices are,-0.375,0.45
2017,SPOK,"Fox: Ingraham Angle
","homeless. I can relate to this. INGRAHAM# Shirley, the issue of illegal immigration, which we didn't delve into in this place, but from the time",-0.5,0.5
2017,SPOK,"Fox: Ingraham Angle
",sanitation of the homelessness. The homelessness in California is disruptive because of the illegal immigration and the misappropriation of movement of money within the state. Democrats have failed this,-0.5,0.4
2017,SPOK,"Fox: Tucker Carlson Tonight
","as a disincentive. CARLSON# Right. STEIN# But you know, Tucker, illegal immigration has a big income -- CARLSON# Wait. Wait. Businesses just to go back",-0.053571428571428575,0.2839285714285714
2017,SPOK,"PBS: PBS Newshour
","largely because of what Sari has just been talking about, his stand on illegal immigration, on sanctuary cities. Remember that he was actually Steve Bannon's first choice",-0.008928571428571425,0.3404761904761905
2017,SPOK,"PBS: PBS Newshour
","showing his tougher side to the president, and indicating that, along with illegal immigration and criminal justice policy, he's also moving forward on finding the leakers. JEFFREY-BROWN#",-0.45,0.525
2017,SPOK,"PBS: PBS Newshour
",really then echoed in Donald Trump's campaign. He did a documentary about illegal immigration. He went through a whole film that examined the fallout of the financial crisis,-0.019999999999999997,0.22000000000000003
2017,SPOK,"PBS: PBS Newshour
",""" (BREAK) JUDY-WOODRUFF# The federal government has formally begun moving to get tougher on illegal immigration. The Department of Homeland Security set that in motion today with top- level memos",0.0,0.5
2017,SPOK,"PBS: PBS Newshour
","of how Donald Trump himself has changed the whole way many Americans look at illegal immigration. For years, the question of fairness in illegal immigration went to one issue",-0.07500000000000001,0.475
