Year,Type,Source,Text,Polarity,Subjectivity
2017,SPOK,"NBC: Today Show
",Monday morning live on the TODAY Show. HODA-KOTB- (08# 03:39): An undocumented immigrant who became a big issue in the 2016 presidential campaign has been found not,0.06818181818181818,0.3
2017,SPOK,"PBS: PBS Newshour
","in this country, a federal appeals court in Washington, D.C., blocked an undocumented immigrant girl from getting an abortion. The 17- year-old is being held in Texas",0.0,0.0
2017,SPOK,"PBS: PBS Newshour
",", the labor secretary nominee, Andrew Puzder, acknowledged that he once had an undocumented immigrant as a housekeeper. In a statement, he said -- quote -- """,0.0,0.0
2017,SPOK,"PBS: PBS Newshour
","? ALAN-GOMEZ# What that means is that, right now, if you're an undocumented immigrant who is living in the United States under President Obama, the odds of",0.2857142857142857,0.5357142857142857
2017,SPOK,"Fox: First 100 Days
","she joins us now, along with Jose Antonio Vargas, who is a self-proclaimed undocumented immigrant. He is an activist and the founder of #EmergingUS. I know this",0.0,0.0
2017,SPOK,"Fox: First 100 Days
","on that followed by reaction from Maureen Maloney, who lost her son to an undocumented immigrant. Plus, tough talk to Mexico reaches a boiling point with the media",-0.3888888888888889,0.8333333333333334
2017,SPOK,"Fox: First 100 Days
","and dragged him to his death. The killer, Nicolas Guaman, was an undocumented immigrant from Ecuador. I'm joined now by Maureen Maloney, the mother of",0.0,0.0
2017,SPOK,"CNN: Anderson Cooper
","new guest, Congressman Adriano Espaillat, who came to the United States as an undocumented immigrant. Are you encouraged all congressman by what the president is saying? REP-ADRIANO-ESPAIL#",0.13636363636363635,0.45454545454545453
2017,MAG,"Slate Magazine
",""" I have a name in this country. ""  #  * * *  #  Undocumented immigrant and activist Jeanette Vizguerra hugs her youngest child, Zury Baez, while addressing",0.0,0.0
2017,MAG,"Jezebel
","it took him 5 years to pay taxes on an employee who was also an undocumented immigrant. Puzder also runs CKE Restaurants, umbrella company to Hardees and Carl's",0.0,0.0
2017,MAG,"A.V. Club
","the book involves Davis watching the police try to wrangle a man, presumably an undocumented immigrant, out of a canal. There's a deep melancholy permeating this scene",0.0,0.4
2017,MAG,"Salon
","have won the popular vote had it not been for 3 million to 5 million undocumented immigrant voters.  #  His proof was, according to the New York Times,",0.36818181818181817,0.6772727272727272
2017,MAG,"Slate Magazine
",be incarcerated than native-born Americans.  #  It was true that Garcia Zarate was an undocumented immigrant. It was also true that he killed Kate Steinle. It was not,0.16666666666666666,0.43333333333333335
2017,MAG,"Slate Magazine
","that some legislation should be discussed, enacted, or changed, to take these undocumented immigrant felons off our streets for good. "" He concluded his testimony by saying",0.7,0.6000000000000001
2017,NEWS,"The Boston Globe
","her daily struggles: Fearful of who might call authorities and report her as an undocumented immigrant, she forbade her kids from trick-or-treating for Halloween. She tells the children",-0.45,0.5
2017,NEWS,"Charlotte Observer
",which included a call for the county jail to stop telling federal officials when an undocumented immigrant has been arrested for a crime.  #  Below are some of the demands,-0.1,0.0
2017,NEWS,"Washington Post
","Berks Family Residential Facility, one of only three detention centers in the country for undocumented immigrant families. (The other two are in Texas). Some families have",-0.0625,0.6875
2017,ACAD,"Human Organization
","geopolitical infrastructures like the United States-Mexico border, to regulate the ways in which resident undocumented immigrant communities learn to socially reproduce as well as work. "" # In this",0.03333333333333333,0.06666666666666667
2017,ACAD,"Human Organization
","and Wall 2004), the biometric border as a technique of regulation identifies the undocumented immigrant as its primary target for subjectification. It produces the "" shadow populations """,0.4,0.5
2017,ACAD,"Human Organization
",": through technologies like E-Verify, the state can penetrate the inner world of the undocumented immigrant to affect a particular policy outcome by inducing fear of deportation within the subject",0.0,0.27777777777777773
2017,ACAD,"Human Organization
","(Ngai 2004). Indeed, if fear of the terrorist, criminal, undocumented immigrant has been mobilized in the United States to rally support for the increasing securitization",-0.4,0.55
2017,ACAD,"Human Organization
",""" Criminal aliens "" is the term used by immigration authorities to refer to an undocumented immigrant who has been convicted of a felony or misdemeanor (Inda 2013:293).",-0.4,0.55
2016,SPOK,"NPR: Fresh Air
","the Obama administration's own policy has been that if you are in fact an undocumented immigrant who is found guilty of a crime, then you are in fact subject",-0.022222222222222227,0.7777777777777778
2016,MAG,"Jezebel
","Dodd-Frank Act, proposed tax cuts for the wealthy and corporations, Trump's proposed undocumented immigrant deportation plan and the NYPD's unwillingness to assist it, and Trump's",0.5,1.0
