Year,Type,Source,Text,Polarity,Subjectivity
2017,MAG,"Huffington Post
","voter fraud. There is no evidence of this, and none that millions of undocumented immigrants voted for Clinton. It's a fixation for Trump, who won the",0.0,0.0
2017,MAG,"Huffington Post
","source confirmed Trump used the word "" illegals, "" considered an offensive term for undocumented immigrants.  #  This was Trump's first official meeting with congressional leaders since being",0.325,0.6666666666666666
2017,MAG,"Salon
","to the right-wing Larry Elder Show to complain about multiculturalism and the persistent presence of undocumented immigrants, leading to his discovery by David Horowitz, the radical leftist-turned-extreme right provocateur",0.2857142857142857,0.5357142857142857
2017,MAG,"Salon
","Sessions, where he helped his boss stifle a plan to put millions of qualified undocumented immigrants on the path to citizenship.  #  During his days at Duke, Miller",0.0,0.0
2017,MAG,"Salon
",""" the executive action signed by former President Barack Obama to defer the deportation of undocumented immigrants brought to the U.S. as children. Bannon reportedly battled against other administration officials",-0.008333333333333331,0.15833333333333333
2017,MAG,"Salon
","ploy to engender goodwill for future immigration battles, Buzzfeed reported. DREAMers, young undocumented immigrants granted a reprieve to attend school and work, are reportedly not a top",-0.049999999999999996,0.3416666666666666
2017,MAG,"Fortune
","to end Deferred Action for Childhood Arrivals, or DACA, that gave children of undocumented immigrants a reprieve from deportation. He said that 250 Apple workers "" may soon",0.1,0.1
2017,MAG,"Jezebel
","15 percent, indicating that ICE has shifted its focus significantly to detaining and deporting undocumented immigrants who have never been convicted of a crime.  #  The Trump administration is",0.375,0.875
2017,MAG,"Business Insider
","has prompted frenzied speculation that an ambush took place, perhaps at the hands of undocumented immigrants or drug traffickers, though officials have cautioned that the details around the death",0.0,0.0
2017,MAG,"MarketWatch
","taken into account, according to a new academic paper, "" The Earnings of Undocumented Immigrants, "" by Harvard University economist George Borjas, and published Monday by the",0.06818181818181818,0.22727272727272727
2017,MAG,"MarketWatch
","of the country's leading immigration economists, said the "" wage penalty "" between undocumented immigrants and native workers narrowed when Barack Obama became president. Over 11 million undocumented",0.0,0.0
2017,MAG,"MarketWatch
","undocumented persons live here, and the Trump administration has vowed to crack down on undocumented immigrants, deporting those who have committed crimes and building a wall on the southern",-0.006397306397306411,0.262962962962963
2017,MAG,"MarketWatch
","their employees to work in the U.S., which has led to a decrease in undocumented immigrants in those states with that technology. Without E-Verify, all the employer has",0.0,0.0
2017,MAG,"MarketWatch
","#  After 20 years of rapid growth, separate research suggests that the number of undocumented immigrants has fallen in recent years, as states crack down on these workers and",-0.07777777777777779,0.2694444444444445
2017,MAG,"Slate Magazine
","woman at a shelter told her she might be eligible for a special visa for undocumented immigrants who were victims of violent crimes. "" I didn't even know if",-0.22142857142857145,0.7857142857142857
2017,MAG,"Slate Magazine
",Act and another called Secure Communities -- that recruit local law enforcement to search for undocumented immigrants and hand them over to ICE. Both were rolled back under Obama when,0.13333333333333333,0.19999999999999998
2017,MAG,"Mother Jones
",become an easy target for an administration that has ramped up its efforts to deport undocumented immigrants. But leaving the country could be even more daunting. Honduras and El,0.4666666666666667,0.6666666666666667
2017,MAG,"Mother Jones
","absorb and reintegrate that number of people. ""  #  Trump has repeatedly claimed that undocumented immigrants from Central America are bringing gang violence to the United States. But the",0.0,0.25
2017,MAG,"Slate Magazine
","broadcast in Times Square.  #  Bryan R. Smith/Getty Images  #  After months of demonizing undocumented immigrants on the campaign trail, President Donald Trump signed an executive order Wednesday taking",0.0,0.0
2017,MAG,"Huffington Post
"," He used a slur for Mexican immigrants.  #  In 2003, O'Reilly described undocumented immigrants from Mexico as "" wetbacks "" while discussing security at the U.S.-Mexico border.",0.0,0.0
2017,NEWS,"Colorado Springs Gazette
",", still faces two conspiracy counts, including one of conspiracy to transport and harbor undocumented immigrants for financial gain resulting in death. The Laredo, Texas, man also",0.0,0.0
2017,NEWS,"Colorado Springs Gazette
",". The Laredo, Texas, man also is charged with two counts of transporting undocumented immigrants resulting in serious bodily injury and placing lives in jeopardy. He remains in",-0.16666666666666666,0.3833333333333333
2017,NEWS,"OregonLive.com
","#  Donald Trump ran for president on a pledge to round up huge numbers of undocumented immigrants, and now millions of people have been waiting for the other boot to",0.025000000000000022,0.5583333333333333
2017,NEWS,"OregonLive.com
","unwilling to talk to police about any other crime. Already, says Herrera, undocumented immigrants - who may have been here a decade or longer - are becoming reluctant",0.1625,0.6125
2017,NEWS,"OregonLive.com
","#  Catholic Charities doesn't have its own attorney as it works with Oregon's undocumented immigrants - estimated at as many as 150,000 - although it's hoping to add",0.3666666666666667,0.5333333333333333
2017,NEWS,"Charlotte Observer
","It's unclear if the rest of the Funes-Machado family is undocumented. Children of undocumented immigrants in the U.S. typically qualify for DACA status, which means they are low",-0.08333333333333333,0.4
